"Region" "PA"	"GPA"	"HS"	"GHS"	"y"	"Period"
"r1"	46.84	-2.6 	1.68	 0.2 	  0.97	"p1"
"r2"	35.54	-1.42	1.67	 0.63	  2.14	"p1"
"r3"	28.42	-1.48	1.71	 0.12	  6.13	"p1"
"r4"	32.54	-4.51	1.37	 0.32	  7.36	"p1"
"r5"	28.92	-0.88	2.14	-0.08	  3.63	"p1"
"r6"	36.61	-1.39	3   	 0.45	 -4.3 	"p1"
"r7"	34.71	-2.22	2.94	 0.27	  2.06	"p1"
"r8"	24.32	-5.11	3.57	-0.55	-18.64	"p1"
"r9"	35.15	-0.16	3.27	 0.03	  5.15	"p1"
"r10"	34.06	-3.86	2.74	 0.19	  6.88	"p1"
"r11"	37.94	-4.61	2.07	 0.38	 -1.24	"p1"
"r12"	35.88	-2.17	1.57	-0.11	 -1.31	"p1"
"r13"	31.28	-1.9 	2.74	-0.57	  1.73	"p1"
"r14"	33.61	 2.02	1.92	 0.32	  0.44	"p1"
"r15"	33.86	 0.75	0.86	 0.46	-15.53	"p1"
"r16"	43.24	-4.41	1.82	 0.52	-10.99	"p1"
"r17"	42.65	-2.28	1.52	-0.17	  0.6 	"p1"
"r18"	37.19	-2.75	2.39	 0.4 	  3.71	"p1"
"r19"	49.7 	-4.86	1.16	 0.09	 -2.38	"p1"
"r20"	41.96	-4.59	2   	-0.12	 -1.35	"p1"
"r21"	28.86	-2.11	5.17	 0.46	 -1.08	"p1"
"r1"	44.24	 3.8 	1.88	 0.13	  8.47	"p2"
"r2"	34.12	-3.33	2.3 	 1.04	  2.76	"p2"
"r3"	26.94	-1.71	1.83	 1.28	 24.08	"p2"
"r4"	28.03	-0.89	1.69	 0.35	 13.97	"p2"
"r5"	28.04	-1.47	2.06	-0.81	  0.63	"p2"
"r6"	35.22	-2.87	3.45	 0.59	 -1.99	"p2"
"r7"	32.49	-1.89	3.21	 1.88	 13.1 	"p2"
"r8"	19.21	 0.36	3.02	 2.98	 15.42	"p2"
"r9"	34.99	-4.95	3.3 	 0.68	 19.65	"p2"
"r10"	30.2 	-3.02	2.93	 0.48	  8.45	"p2"
"r11"	33.33	 0.06	2.45	 0.24	  9.04	"p2"
"r12"	33.71	-4.67	1.46	 2.59	  9.47	"p2"
"r13"	29.38	-2.74	2.17	 0.07	 24.18	"p2"
"r14"	35.63	-0.51	2.24	 0.62	  9.09	"p2"
"r15"	34.61	-5.36	1.32	 0.61	 -1.89	"p2"
"r16"	38.83	-6.83	2.34	 0.71	 14.62	"p2"
"r17"	40.37	-3.94	1.35	 0.45	 -0.44	"p2"
"r18"	34.44	 1.37	2.79	 1.27	 17.84	"p2"
"r19"	44.84	-7.7 	1.25	 0.8 	 10.95	"p2"
"r20"	37.37	-5.87	1.88	 0.8 	 -1.55	"p2"
"r21"	26.75	-1.83	5.63	 1.35	 -1.66	"p2"
"r1"	48.04	-4.03	2.01	 0.4 	  3.72	"p3"
"r2"	30.79	-3.1 	3.34	 0.25	  9.29	"p3"
"r3"	25.23	-4.29	3.11	 0.88	 25.59	"p3"
"r4"	27.14	-2.45	2.04	 1.95	 27.41	"p3"
"r5"	26.57	 1.31	1.25	 0.67	 18.32	"p3"
"r6"	32.35	-1.25	4.04	 0.23	 11.2 	"p3"
"r7"	30.6 	-3.21	5.09	-0.17	 21.95	"p3"
"r8"	19.57	 2.48	6   	 2.27	 33.03	"p3"
"r9"	30.04	-0.79	3.98	 0.55	 22.02	"p3"
"r10"	27.18	-1.14	3.41	 0.28	 13.68	"p3"
"r11"	33.39	-0.42	2.69	-0.18	 11.24	"p3"
"r12"	29.04	 1.4 	4.05	-0.05	 15.06	"p3"
"r13"	26.64	 1.04	2.24	 0.12	 10.73	"p3"
"r14"	35.12	-0.81	2.86	 0.25	  1.53	"p3"
"r15"	29.25	-2.56	1.93	 0.3 	 11.37	"p3"
"r16"	32   	 1.68	3.05	 0.78	 -0.07	"p3"
"r17"	36.43	 1   	1.8 	 0.37	 14.17	"p3"
"r18"	35.81	-2.29	4.06	 0.18	  8.05	"p3"
"r19"	37.14	 1.59	2.05	 0.82	 15.96	"p3"
"r20"	31.5 	 0.7 	2.68	-0.17	  9.91	"p3"
"r21"	24.92	-0.14	6.98	 0.59	  6.94	"p3"
